job_title
"3D Computer Vision Researcher"
"AI Scientist"
"Analytics Engineer"
"Applied Data Scientist"
"Applied Machine Learning Scientist"
"BI Data Analyst"
"Big Data Architect"
"Big Data Engineer"
"Business Data Analyst"
"Cloud Data Engineer"
"Computer Vision Engineer"
"Computer Vision Software Engineer"
"Data Analyst"
"Data Analytics Engineer"
"Data Analytics Lead"
"Data Analytics Manager"
"Data Architect"
"Data Engineer"
"Data Engineering Manager"
"Data Science Consultant"
"Data Science Engineer"
"Data Science Manager"
"Data Scientist"
"Data Specialist"
"Director of Data Engineering"
"Director of Data Science"
"ETL Developer"
"Finance Data Analyst"
"Financial Data Analyst"
"Head of Data"
"Head of Data Science"
"Head of Machine Learning"
"Lead Data Analyst"
"Lead Data Engineer"
"Lead Data Scientist"
"Lead Machine Learning Engineer"
"Machine Learning Developer"
"Machine Learning Engineer"
"Machine Learning Infrastructure Engineer"
"Machine Learning Manager"
"Machine Learning Scientist"
"Marketing Data Analyst"
"ML Engineer"
"NLP Engineer"
"Principal Data Analyst"
"Principal Data Engineer"
"Principal Data Scientist"
"Product Data Analyst"
"Research Scientist"
"Staff Data Scientist"
